gene_name,baseMean_CPM,case_mean_CPM,control_mean_CPM,log2FoldChange,pvalue,padj
CCL2,89.57180065107256,178.79279036758882,0.3508109345563204,7.056365597339213,,
IL32,49.6673346035766,99.18432166377191,0.15034754338128015,6.444443147014896,,
BIRC3,62.96132319078182,124.87021357789467,1.0524328036689612,5.938458119030814,,
SGPP2,134.32011489642233,265.2824679906627,3.3577618021819235,5.9332262945110275,,
CTSS,36.044013762674524,71.83744828638025,0.2505792389688003,5.8640120039765575,,
C3,44.46960823912769,88.38794215252402,0.5512743257313606,5.848554495697454,,
TNFRSF9,45.79512056764579,90.9387351139727,0.6515060213188808,5.798818683055319,,
TNFAIP3,40.008788997119474,79.01526103836375,1.0023169558752012,5.320532918422166,,
MMP9,19.680687114918282,39.211026686455284,0.15034754338128015,5.127449472520904,,
CSF2,18.920767695598688,37.490724456641054,0.3508109345563204,4.832613157260563,,
SLC16A2,126.67080566109138,245.17272813179986,8.16888319038289,4.746781115664011,,
IL4I1,15.719491929169495,30.78747783702011,0.6515060213188808,4.266604416285872,,
ABAT,47.038300638398425,90.16756514888357,3.909036127913284,4.2150089560937545,,
TNFAIP2,399.15768841721757,754.26354662372,44.05183021071509,4.067322534586416,,
CLIC1,7.207473135256152,14.414946270512305,0.0,3.9462579557628406,,
MIR3142HG,10.78001530076277,21.05887212358794,0.5011584779376006,3.877210831367819,,
ICAM1,157.57846267551525,294.40896436441386,20.747960986616665,3.7637615558922715,,
TRAF1,42.216443132402716,79.37118563763566,5.061700627169766,3.7288838569774607,,
NFKBIA,101.70596947558148,189.52984911229143,13.882089838871536,3.6783679950659516,,
CCL7,5.427850138896608,10.855700277793217,0.0,3.5675089755446288,,
SAA1,40.94513790571434,76.22718501073379,5.663090800694886,3.534845325957111,,
IRAK2,11.564481438639431,22.12664592140366,1.0023169558752012,3.5298137776294523,,
SGK1,14.890535619213217,28.17736410902611,1.6037071294003218,3.486210470393017,,
PLAU,26.798668700675393,49.888764664612545,3.708572736738244,3.4339854487341825,,
EBI3,5.156304230066898,10.262492612340036,0.050115847793760056,3.422905761154521,,
