script,type,purpose,major_inputs_or_dependencies,major_outputs_or_effects,notes
biological_consensus_repair/bamcompare_disambiguated_spikein.sh,bash,Compare or process disambiguated spike-in BAM files for ChIP normalization,"hg38/dm6 BAM inputs; samtools utilities","filtered or compared spike-in results",Requires cluster environment and project-specific paths
biological_consensus_repair/build_reciprocal_consensus.py,Python,Build reciprocal-overlap consensus peaks from two replicate broadPeak files,"replicate broadPeak files; reciprocal fraction; output path",Merged consensus BED file,Supports reciprocal thresholds such as 0.25 0.50 and 0.75
biological_consensus_repair/checksum_chip_inputs.slurm,SLURM Bash,Hash ChIP BAM and broadPeak source inputs,"ChIP BAM files; broadPeak files; SHA256 utilities",provenance/CHIP_INPUT_SHA256SUMS.txt,Cluster submission script
biological_consensus_repair/chip_complexity_downsampled.slurm,SLURM Bash,Calculate depth-matched ChIP library complexity metrics,"ChIP BAM files; samtools; MAPQ and pairing filters",Downsampled NRF PBC and complexity QC tables,Cluster submission script
biological_consensus_repair/chip_insert_size_qc.slurm,SLURM Bash,Calculate paired-end insert-size and long-fragment QC,"ChIP BAM files; samtools stats; MAPQ30 first mates",insert_size QC summary tables and stats,Assesses legacy Bowtie2 -X 2000 setting
biological_consensus_repair/chip_mapq30_reanalysis.slurm,SLURM Bash,Run MAPQ30 coordinate-deduplicated ChIP sensitivity analysis,"hg38/dm6 BAMs; samtools; MACS3; DiffBind inputs",Corrected sensitivity BAM intermediates peak calls and results,Uses coordinate duplicate removal and ambiguous query-name exclusion
biological_consensus_repair/chip_qc_repair.slurm,SLURM Bash,Run full ChIP library QC,"ChIP BAM files; MAPQ and proper-pair filters",FRiP flagstat overlap NRF PBC and complexity tables,Retains all four ChIP replicates
biological_consensus_repair/compare_old_new.py,Python,Compare old and repaired numerical result summaries,"old and repaired result tables",summary/old_vs_new_numeric_comparison.csv and TXT,Used for repair verification
biological_consensus_repair/diffbind_broad_keep_duplicates.slurm,SLURM Bash,Submit broad-region DiffBind analysis retaining duplicate policy control,"broad peak and sample-sheet inputs; R DiffBind workflow",Broad DiffBind result bundle,Control branch with bRemoveDuplicates FALSE
biological_consensus_repair/diffbind_broad_sensitivity.R,R,Run broad-region duplicate-handling DiffBind sensitivity,"sample sheet; BAMs; broad peaks; hg38 blacklist",DiffBind tables annotations RDS parameters and session info,Uses summits FALSE and DESeq2 with spike-in normalization
biological_consensus_repair/diffbind_broad_sensitivity.slurm,SLURM Bash,Submit the broad-region DiffBind sensitivity R workflow,"diffbind_broad_sensitivity.R; cluster resources",Broad DiffBind output directory,Cluster submission wrapper
biological_consensus_repair/directional_rna_fea.R,R,Run separate RNA-up and RNA-down functional enrichment,"RNA up/down gene lists; eligible RNA background",GO BP KEGG and Reactome FEA tables and summaries,Uses clusterProfiler/ReactomePA and configurable FDR and gene-set sizes
biological_consensus_repair/extract_diffbind_replicate_qc.R,R,Extract replicate-level DiffBind QC and correlations,"DiffBind object or replicate-level results",Replicate QC and correlation tables,Supports assessment of within-condition agreement
biological_consensus_repair/gsea_all_eligible.R,R,Run all-gene ranked GSEA without significance prefiltering,"RNA DE results; signed Wald statistics",GO BP KEGG and Reactome GSEA tables and session information,Collapses duplicate Entrez mappings by median; default gene-set size 15 to 500 and seed 20260818
biological_consensus_repair/plot_corrected_enrichment.py,Python,Generate corrected enrichment summary plots,"FEA GSEA ORA summary tables",summary PNG/PDF enrichment plots,Matplotlib-based postprocessing plotter
biological_consensus_repair/postprocess_final_chip.slurm,SLURM Bash,Run final ChIP postprocessing and validation after dependencies complete,"completed ChIP sensitivity outputs; QC and integration results",Final plots validation tables and manifests,Dependency-graph postprocessing job
biological_consensus_repair/primary_integration.slurm,SLURM Bash,Submit or run the primary repaired RNA-ChIP integration,"repair_integration.py; canonical RNA and ChIP CSV inputs",integration tables gene sets Fisher tests and correlations,Primary target universe is 2100 genes
biological_consensus_repair/queue_full_repair.sh,bash,Submit the complete repaired analysis dependency graph,"all repair SLURM and analysis scripts; cluster scheduler",Submits QC integration enrichment consensus and validation jobs,Uses afterok dependencies and prints job IDs
biological_consensus_repair/repair_integration.py,Python,Construct matched RNA-ChIP universes and calculate integration statistics,"RNA results CSV; annotated ChIP CSV; FDR and LFC thresholds",Fisher results correlations eligible universes directional gene sets and audits,Primary thresholds RNA FDR 0.05 absolute log2FC 1 and ChIP FDR 0.05
biological_consensus_repair/rerun_promoter_ora.slurm,SLURM Bash,Rerun promoter-scoped integrated ORA with corrected promoter enforcement,"promoter gene sets and eligible universe; ORA script",ora/promoter_peaks tables mappings figures and summaries,Significant peak itself must be promoter annotated within ±3000 bp of TSS
biological_consensus_repair/run_corrected_enrichment.slurm,SLURM Bash,Run repaired directional FEA GSEA and integrated ORA workflows,"directional RNA lists; matched gene sets; R/Python enrichment scripts",FEA GSEA ORA outputs and run summaries,Cluster submission wrapper
biological_consensus_repair/summarize_chip_qc.py,Python,Summarize ChIP QC metrics across libraries,"QC TSV files including complexity insert size FRiP and overlap",Combined QC summary tables,Used to support ChIP quality assessment
biological_consensus_repair/validate_repaired_outputs.py,Python,Validate repaired result completeness and expected output structure,"repaired result tree; validation rules and expected tables",Validation results CSV/TXT and pass/fail status,Checks files tables and key result expectations
over_representation_analysis/run_h4k16ac_rna_ora.py,Python,Run integrated H4K16ac-RNA over-representation analysis,"eligible background; loss-down gain-up loss-up gain-down gene sets; Rscript",ORA pathway tables mapping audits figures and run summaries,Uses GO BP KEGG and Reactome; configurable FDR and gene-set sizes
