gene_name,baseMean_CPM,case_mean_CPM,control_mean_CPM,log2FoldChange,pvalue,padj
IL32,26.58542158995546,52.505529571035105,0.6653136088758158,5.005822201932293,,
CCL2,23.90205385456605,47.28136130215824,0.5227464069738552,4.986718748328401,,
CSF2,29.5408062896005,57.46585095764545,1.6157616215555526,4.482291236883888,,
C3,24.74404000816937,47.96736319605116,1.5207168202875792,4.279914552933107,,
TNFRSF9,24.577861415080495,47.49243880797145,1.6632840221895393,4.186481616303545,,
SERPINB2,10.279534456755185,20.36897931097442,0.1900896025359474,4.16637589525215,,
TRAF1,36.351278576506374,69.2334219067317,3.469135246281039,3.974090117980517,,
PLAU,48.34889068329375,91.6604068993849,5.037374467202605,3.9399598257161044,,
ROBO4,12.912906112731026,25.06545381531826,0.7603584101437896,3.888197880794091,,
MMP9,6.962934203926155,13.878346007218322,0.04752240063398685,3.8281611536172377,,
BIRC3,138.98448939748144,259.62533215024393,18.343646644718923,3.752045616202467,,
CTSS,24.9081943498689,46.48982065535872,3.3265680443790786,3.45632331052118,,
TNFAIP3,28.019113881834112,52.18891331231529,3.8493144513529347,3.4552728492500577,,
IL4I1,11.066127745995548,20.896673075507437,1.235582416483658,3.2919890490353687,,
ICAM1,124.14167542698799,217.72644724632244,30.556903607653542,2.793100115147947,,
ESM1,85.68044757069829,150.02333725673648,21.337557884660093,2.7572281298888557,,
CXCL8,3.5514389589592295,6.912788315382511,0.1900896025359474,2.7331159634835047,,
SEMA7A,21.27295358693071,37.413487905390845,5.132419268470579,2.647084723692985,,
CD82,84.98979793750637,146.6460971637252,23.33349871128754,2.6011275477550244,,
UNC13A,13.042955111605007,22.901909380732896,3.1840008424771185,2.5141708239026044,,
BMP2,3.4380297423236534,6.543402680209399,0.3326568044379079,2.500910146757001,,
SGPP2,70.90487235464376,120.94741083096729,20.862333878320225,2.479739800441381,,
IL23A,12.304183841258787,21.424366840040456,3.1840008424771185,2.4221122035188865,,
RELB,39.88427638739965,67.65034061313266,12.118212161666644,2.3876957652622175,,
SLC16A2,40.43325767347008,68.17803437766568,12.688480969274487,2.337351664102475,,
TMEM132A,110.85885751899526,185.22051135108865,36.49720368690189,2.3121570706912626,,
NFKBIA,73.97209144692526,122.89987775973945,25.044305134111067,2.2501349127098393,,
LAMC2,129.14861670318524,213.76874401232482,44.52848939404567,2.237942550968159,,
WNT9A,49.09927764562087,81.42314786744438,16.775407423797354,2.2131669357005763,,
LIMD2,14.988001004038425,25.223761944678166,4.752240063398684,2.1886788716097323,,
IRAK2,2.1556739708563937,4.168780739810827,0.1425672019019605,2.1775449821403376,,
IL18R1,2.6728737837507808,5.013090763063653,0.3326568044379079,2.173801440248124,,
CD83,16.45519940222232,27.49284513217014,5.4175536722745,2.1505043263773347,,
ABAT,40.23589684372546,66.1200286959869,14.351764991464027,2.1283388008868083,,
